Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-180,0,16.0505,9.31728,8.61096,15.2979
-179,0,15.7811,9.16558,8.77226,15.5757
-178,0,15.5068,9.01109,8.93088,15.8487
-177,0,15.2279,8.85385,9.08679,16.1169
-176,0,14.9443,8.69392,9.23992,16.3802
-175,0,14.6561,8.53133,9.39025,16.6386
-174,0,14.3635,8.36615,9.53771,16.8918
-173,0,14.0665,8.19842,9.68227,17.1399
-172,0,13.7652,8.02819,9.82387,17.3828
-171,0,13.4598,7.85552,9.96249,17.6204
-170,0,13.1502,7.68045,10.0981,17.8526
-169,0,12.8366,7.50305,10.2306,18.0794
-168,0,12.5191,7.32336,10.36,18.3007
-167,0,12.1978,7.14144,10.4862,18.5164
-166,0,11.8728,6.95734,10.6092,18.7264
-165,0,11.5442,6.77112,10.729,18.9308
-164,0,11.2121,6.58284,10.8456,19.1294
-163,0,10.8765,6.39256,10.9588,19.3221
-162,0,10.5376,6.20033,11.0687,19.509
-161,0,10.1955,6.00621,11.1752,19.69
-160,0,9.85034,5.81026,11.2784,19.8649
-159,0,9.50215,5.61254,11.378,20.0338
-158,0,9.15107,5.41311,11.4743,20.1966
-157,0,8.79719,5.21203,11.567,20.3532
-156,0,8.44064,5.00937,11.6562,20.5036
-155,0,8.08152,4.80518,11.7418,20.6478
-154,0,7.71993,4.59952,11.8239,20.7857
-153,0,7.356,4.39247,11.9024,20.9173
-152,0,6.98982,4.18407,11.9772,21.0425
-151,0,6.62151,3.9744,12.0484,21.1613
-150,0,6.25119,3.76352,12.116,21.2736
-149,0,5.87896,3.5515,12.1798,21.3795
-148,0,5.50494,3.33839,12.2399,21.4788
-147,0,5.12925,3.12427,12.2963,21.5716
-146,0,4.75199,2.90919,12.349,21.6578
-145,0,4.37329,2.69323,12.3979,21.7375
-144,0,3.99325,2.47645,12.443,21.8105
-143,0,3.612,2.25891,12.4843,21.8769
-142,0,3.22964,2.04068,12.5218,21.9366
-141,0,2.8463,1.82184,12.5555,21.9896
-140,0,2.4621,1.60243,12.5854,22.0359
-139,0,2.07715,1.38254,12.6115,22.0755
-138,0,1.69156,1.16223,12.6337,22.1084
-137,0,1.30545,0.941569,12.652,22.1346
-136,0,0.918955,0.720617,12.6665,22.154
-135,0,0.532174,0.499446,12.6772,22.1666
-134,0,0.145232,0.278123,12.684,22.1726
-133,0,-0.241755,0.0567145,12.6869,22.1717
-132,0,-0.628667,-0.164711,12.6859,22.1641
-131,0,-1.01539,-0.386086,12.6811,22.1498
-130,0,-1.4018,-0.607344,12.6725,22.1287
-129,0,-1.78779,-0.828416,12.6599,22.1008
-128,0,-2.17323,-1.04924,12.6436,22.0663
-127,0,-2.55801,-1.26974,12.6233,22.025
-126,0,-2.942,-1.48985,12.5992,21.977
-125,0,-3.32511,-1.70951,12.5713,21.9223
-124,0,-3.7072,-1.92865,12.5396,21.8609
-123,0,-4.08816,-2.1472,12.504,21.7929
-122,0,-4.46788,-2.3651,12.4646,21.7182
-121,0,-4.84623,-2.58228,12.4214,21.6369
-120,0,-5.22311,-2.79867,12.3745,21.5491
-119,0,-5.5984,-3.01421,12.3238,21.4546
-118,0,-5.97198,-3.22883,12.2693,21.3537
-117,0,-6.34374,-3.44246,12.2111,21.2462
-116,0,-6.71357,-3.65505,12.1491,21.1322
-115,0,-7.08136,-3.86653,12.0835,21.0118
-114,0,-7.44699,-4.07682,12.0142,20.8851
-113,0,-7.81035,-4.28588,11.9412,20.7519
-112,0,-8.17133,-4.49363,11.8646,20.6124
-111,0,-8.52982,-4.70001,11.7843,20.4667
-110,0,-8.88572,-4.90496,11.7005,20.3147
-109,0,-9.2389,-5.10841,11.6131,20.1565
-108,0,-9.58928,-5.31031,11.5222,19.9922
