"dL [mm]","R_wire [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
4.8,0.1,23,36.8821074529052,-80.9176642276096
4.8,0.1,23.0166666666667,36.9646734588322,-80.6259782654975
4.8,0.1,23.0333333333333,37.0474237375606,-80.334446149245
4.8,0.1,23.05,37.1303586776231,-80.0430674154532
4.8,0.1,23.0666666666667,37.2134786684784,-79.7518416026925
4.8,0.1,23.0833333333333,37.2967841005129,-79.4607682514998
4.8,0.1,23.1,37.3802753650427,-79.1698469043759
4.8,0.1,23.1166666666667,37.4639528543154,-78.8790771057833
4.8,0.1,23.1333333333333,37.5478169615117,-78.5884584021438
4.8,0.1,23.15,37.6318680807477,-78.2979903418354
4.8,0.1,23.1666666666667,37.7161066070765,-78.0076724751909
4.8,0.1,23.1833333333333,37.80053293649,-77.717504354495
4.8,0.1,23.2,37.8851474659211,-77.4274855339819
4.8,0.1,23.2166666666667,37.969950593245,-77.1376155698334
4.8,0.1,23.2333333333333,38.0549427172817,-76.8478940201765
4.8,0.1,23.25,38.1401242377978,-76.5583204450807
4.8,0.1,23.2666666666667,38.2254955555078,-76.268894406557
4.8,0.1,23.2833333333333,38.3110570720768,-75.9796154685544
4.8,0.1,23.3,38.3968091901218,-75.6904831969587
4.8,0.1,23.3166666666667,38.4827523132142,-75.4014971595901
4.8,0.1,23.3333333333333,38.568886845881,-75.1126569262013
4.8,0.1,23.35,38.6552131936075,-74.8239620684749
4.8,0.1,23.3666666666667,38.7417317628387,-74.5354121600225
4.8,0.1,23.3833333333333,38.8284429609812,-74.2470067763818
4.8,0.1,23.4,38.9153471964059,-73.958745495015
4.8,0.1,23.4166666666667,39.0024448784488,-73.6706278953071
4.8,0.1,23.4333333333333,39.0897364174141,-73.3826535585638
4.8,0.1,23.45,39.1772222245754,-73.0948220680095
4.8,0.1,23.4666666666667,39.264902712178,-72.8071330087863
4.8,0.1,23.4833333333333,39.3527782934407,-72.5195859679514
4.8,0.1,23.5,39.440849382558,-72.2321805344756
4.8,0.1,23.5166666666667,39.5291163947021,-71.9449162992419
4.8,0.1,23.5333333333333,39.6175797460246,-71.6577928550437
4.8,0.1,23.55,39.706239853659,-71.3708097965826
4.8,0.1,23.5666666666667,39.795097135722,-71.0839667204681
4.8,0.1,23.5833333333333,39.8841520113165,-70.7972632252148
4.8,0.1,23.6,39.9734049005326,-70.5106989112413
4.8,0.1,23.6166666666667,40.0628562244505,-70.2242733808688
4.8,0.1,23.6333333333333,40.1525064051419,-69.9379862383198
4.8,0.1,23.65,40.2423558656724,-69.6518370897161
4.8,0.1,23.6666666666667,40.3324050301037,-69.3658255430779
